musicbrainz_id,type,score,name,spotify_id,followers,genres,popularity
c5fbd2a7-574b-47f9-b3c8-14dfcabf283d,Person,68,Михаил Шуфутинский,3Ar1W7H096Z6qSGBMmwSmO,53834,"['classic russian pop', 'russian chanson', 'russian pop', 'russian rock']",48
6e886c66-a179-4c35-acf4-06da41108e89,Group,68,Кооператив Ништяк,34JNYBHbDKm6mnO1tBB7SQ,339,['russian post-punk'],6
debf724d-3c36-4081-978c-f3384146d8a6,Group,68,Ногу Свело!,6EwC0Bw0mA6AZPVnmT8xzf,61785,"['classic russian rock', 'russian punk', 'russian rock']",46
ea43481f-b65c-4a8d-b00a-1c4ae47a29ca,Group,68,Inopexia,,0,[],0
917e2110-0542-45f5-a20f-682462647816,Group,68,Пилот,6qiGjRyN7TJ1GA2nXF68Hi,229026,"['indie folk', 'indie pop', 'new americana', 'portland indie', 'stomp and holler']",55
3d224f8b-692d-4e7e-9cd1-8e2aa90aa2ad,Group,68,Любэ,4Z2QXZRqTdguBQrM8pr4eD,67655,"['classic russian pop', 'classic russian rock', 'russian chanson', 'russian pop', 'russian rock']",50
01726f9b-6e54-48e5-af05-871678ce7d1c,Group,68,Руки вверх!,0T6ncGHAiGQ4LhbiUJAasn,94336,"['classic russian pop', 'russian dance pop', 'russian pop']",56
b4313680-2f57-4ec6-87a7-24873133ba4c,Person,68,Валерия,3KYkCbCf8S3RDAtFoBT3qW,36864,"['classic russian pop', 'kavkaz', 'russian ccm', 'russian dance pop', 'russian pop']",46
a255e270-e602-48aa-8381-356988a81d59,Person,68,Татьяна Буланова,2Agn1HUbcTPcPHwy7WAfHs,22435,"['classic russian pop', 'russian pop', 'soviet synthpop']",45
cfb3d32e-d095-4d63-946d-9daf06932180,Person,68,Егор Летов,6yzTAtRHzB5xxcV0z9Debk,84472,"['russian punk', 'russian rock']",48
765dc449-9ab0-4a8e-aaba-463f992d2a13,Group,68,SEREBRO,1Ulwacsns9Me7dz4OVwkiQ,214637,"['russian dance pop', 'russian pop']",54
3339ecd4-e50a-49b7-ba2c-fd0edc203dd3,Group,67,Faktor-2,0lMbDFkZA1vZDfGMnsaoTs,35913,"['russian hip hop', 'russian pop']",41
625955df-18cf-407e-8bb2-57623bdbbbc5,Group,67,ППК,6kGGvTWOWaF26tZF5hy19z,8729,"['acid trance', 'sovietwave']",42
63e83c7f-5742-4ed2-8016-ce6e19a2aeda,Group,67,Theodor Bastard,2PQ9UX4kWDE3mf2fYGRzqF,8584,"['medieval folk', 'neoclassical darkwave', 'rune folk', 'russian rock']",34
e6f3cd0d-1998-408d-9fd8-c765370af42d,Group,67,Браво,5j9R5dTGerKvdXopZnfJh9,257536,"['norteno', 'regional mexican']",68
dc35e922-6eda-4d31-a739-ec8444ad6b4f,Group,67,Tequilajazzz,3sN81ks9n7Qaf3yfzSWRZs,7205,"['russian alternative', 'russian rock']",24
81b70969-a9c0-4fcf-8461-24cf72901368,Orchestra,67,Большой симфонический оркестр имени П. И. Чайковского,,0,[],0
2a64286f-a2cc-4646-a4f1-447b53edf0f7,Group,67,Смысловые галлюцинации,45HIeH1OpaQDBptDhcKrMo,103387,"['classic russian rock', 'russian rock']",48
