artist_spotify_id,name,spotify_id,duration_ms,explicit,popularity,album_type,album_name,album_spotify_id,release_date,album_popularity,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
0RVIZpggXkAvhGOW4EFfWG,Usb 3.0,5lQy8nLDPHwg6HlLlxjNmO,223317.0,0.0,13.0,album,Аквариум in Dub,7MIHIXbvPDr43xIckEGgRz,2020-08-15,27.0,2,1,4,0.28,0.859,0.605,0.107,0.213,-6.818,0.0555,0.965,150.978
19h4X7tdMRnD8WvNtUprEh,Часть 1.1 - Идиот,1xZgUkqBzx8lQDKqJ9dCp3,106300.0,0.0,1.0,album,Идиот,5gGh1ghgxVrm0jZpWnBMLo,2020-06-17,19.0,0,0,5,0.885,0.617,0.219,0.0,0.361,-19.426,0.968,0.355,177.508
19h4X7tdMRnD8WvNtUprEh,Часть 1.2 & Часть 2.1 - Идиот,04ouXAkK57zySHB07v2HSO,100805.0,0.0,1.0,album,Идиот,5gGh1ghgxVrm0jZpWnBMLo,2020-06-17,19.0,7,1,1,0.906,0.754,0.169,0.0,0.159,-20.685,0.963,0.463,81.737
19h4X7tdMRnD8WvNtUprEh,Часть 1.1 - Бесы,3nie6TJeykIHnViZWTsa2x,126400.0,0.0,1.0,album,Бесы,4lDsNi2syZeLQEkNhnCIrB,2020-05-13,17.0,10,1,3,0.883,0.74,0.273,7.41e-06,0.362,-14.258,0.96,0.327,76.283
19h4X7tdMRnD8WvNtUprEh,Часть 2.2 - Идиот,2dawTRV1Ng0AK8o1IsqJa3,104500.0,0.0,1.0,album,Идиот,5gGh1ghgxVrm0jZpWnBMLo,2020-06-17,19.0,9,0,3,0.896,0.638,0.179,0.0,0.22,-19.353,0.965,0.322,162.705
19h4X7tdMRnD8WvNtUprEh,Часть 1.1 - Преступление и наказание,4YVAnlbEosPcAVnNkkcX6C,95300.0,0.0,1.0,album,Преступление и наказание,4fSFXOKnabOLzQonFQVw1p,2020-06-17,17.0,7,1,3,0.913,0.71,0.183,0.0,0.151,-16.575,0.962,0.269,61.941
19h4X7tdMRnD8WvNtUprEh,Часть 2.3 & Часть 3.1 - Идиот,7ufssU5KN99Ql5MtNwfWmH,109812.0,0.0,1.0,album,Идиот,5gGh1ghgxVrm0jZpWnBMLo,2020-06-17,19.0,8,1,4,0.899,0.704,0.241,0.0,0.181,-18.089,0.947,0.503,132.723
19h4X7tdMRnD8WvNtUprEh,Часть 3.2 & Часть 4.1 - Идиот,1aphwsD5LZDbmb7m8iGH9d,124936.0,0.0,1.0,album,Идиот,5gGh1ghgxVrm0jZpWnBMLo,2020-06-17,19.0,1,1,5,0.94,0.724,0.264,0.0,0.156,-15.321,0.962,0.335,79.859
19h4X7tdMRnD8WvNtUprEh,Часть 1.4 - Бесы,7HZgfz5FtROEnDSOzQaOJ9,124200.0,0.0,1.0,album,Бесы,4lDsNi2syZeLQEkNhnCIrB,2020-05-13,17.0,3,0,5,0.857,0.684,0.257,2.06e-06,0.131,-14.244,0.962,0.573,82.176
19h4X7tdMRnD8WvNtUprEh,Часть 4.2 & Часть 5.1 - Идиот,2Jp70eVym5SifqFrmx1bBI,116176.0,0.0,1.0,album,Идиот,5gGh1ghgxVrm0jZpWnBMLo,2020-06-17,19.0,3,1,3,0.937,0.651,0.241,0.0,0.179,-17.26,0.966,0.348,86.39
