mb_id,name,type
48620dbc-180e-4239-bf70-ccdf4165926a,Absenth,Group
f14bd384-ad01-4f4d-9e76-b248a619935f,Absidia,Group
e33bf38c-f0ae-44d8-9502-a57c91935f50,Abstemious,Person
8b0d598a-ddd9-4fd5-a0fc-35cf14871c98,Abstracode,Group
80ba0f2a-c8a6-4f5d-bf11-f2b5b077f4ed,Abstract Elements,Group
327cef0b-c2f9-4284-80bc-0d59920a67fe,Abstract Satan,Group
68eaa2d4-7ab2-4e05-9954-24a97fab4e0d,Abstract Spirit,Group
f039c14d-9140-4293-9003-bad77b88d76a,Absurd,Person
97ccaaab-16a8-4450-b4fb-98d84968ce0a,Absurd Thule,
b2a0a354-b673-4246-834e-fa4fbf3cb18f,Abutor Ensis,Group
8754b0e3-b139-4712-b2e0-5c1d323a9840,Abyss,Group
62dd22ba-35a5-4e7f-a373-90a17aa9888c,Abyssfire,Group
2567d236-c77c-4556-8c5b-e0ea55614e07,Abysskvlt,Group
1328ac84-a585-4e9e-8e04-358b241b8fba,Abyssphere,Group
4649df01-5894-4325-a876-d640b503768e,"Academic Symphony Orchestra of St. Petersburg Philharmony ""Dmitry Shostakovich""",Orchestra
8cf26be7-6f50-4125-8fab-cde54df1fe68,Academy of Choral Arts Choir,Choir
db353065-aff4-4da6-8b0e-f0bd8b650365,Academy of Russian Music,Group
d1996aa4-dad1-4a05-8ab5-1ac73c60feaa,Accita Citam,Group
a1631b32-4129-45cd-b922-b0fda2540766,Accursed,Group
b4cbfb1a-be71-4860-a369-5ac8a702fa73,Accursed Christ,Group
6f64a164-73a4-4fe0-bd69-8f87ffd0fabe,ACD,Character
e5e5defc-9fa2-4a7e-a7ba-f723c91f1a64,acetic lady,Person
65ca57a3-cca9-4847-8541-e4abab463f8b,Acetonizer,Group
1791d4f7-b983-47b3-9915-dffc560021ba,Achilles,Group
97ca1418-e5b0-415c-9a01-1cdb29484c8f,Achilles Alferaki,Person
052fee76-e7da-4ad0-b337-222f00bb3338,Acid Drop King,Person
b5e6e54e-3dfa-40f8-98fa-18409c8316a9,ACID.FLICKER.FAMILY,Person
e57dc2e7-a8b5-4c4c-a9e7-fab881d21c1c,acidether,Person
