,artist,musicbrainz_id,spotify_id,type,followers,genres,popularity
4505,Prospekt,e8b399c5-332f-48b7-bb94-44a69e5b1039,3gePfgC469s6rOOiCTOODi,Person,159,[],36
4506,Илья Пурчел,be059c09-4bc2-4457-923a-0ac5da1f6f7e,,Person,0,[],0
4507,Grigoriy Korchmar,4f82fc5c-94fb-4e61-a79e-54ec0cce4ffa,2wV8AbiiHqg5oB4i9qrN2m,Person,9,[],1
4508,Yuri Lisichenko,3239d9c2-881e-4ff1-a930-d074c5e5eca5,,Person,0,[],0
4509,Юри Николаевич Шишаков,d694256c-5ed0-4083-80ff-0ddd73a51f9c,,Person,0,[],0
4510,Полина Скай,34e249ca-ef6c-494b-9993-3004a14d5ec8,2WeqOb2TPdKoWlsI9NoZpm,Person,8,[],4
4511,Борис Штоколов,439696bd-884a-42ee-bada-8b7efbd82e15,4J7hSYtsE8DCgG7QlVW0HV,Person,70,['russian romance'],3
4512,Groove Hunter,5d8f0338-e5a8-470a-8247-30107c241507,5Peo06drElQ7m1VLOJsWCq,Person,9,[],3
4513,TMO,e2c9fc6e-adb7-46a0-ac95-7a8f6d2a2ad0,2jku7tDXc6XoB6MO2hFuqg,Person,3271383,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']",88
4514,Владимир Ферапонтов,a0f0aed0-521b-400a-b113-de83a9ed7ca3,2ynFt2YfDRHw3yJ8V9i4uP,Person,43,[],12
4515,DJ Wide,a91c6e14-aa6d-4d7d-8257-ba052495bad3,21pYs3VXxs2dt1ZeaeHym2,Person,1,[],8
4516,Андрей Машнин,3ad20561-10b4-4bbf-a0fe-102a4eccc25b,6WO3uWfXttHsaqEoO3Mq8V,Person,12,[],2
4517,Карелия,c0248a0a-d539-4386-b49d-4a4549a7fa50,4PODUa7UyqHLQ20929fhqr,Person,2155,[],20
4518,Kercha,61467b65-71d2-4feb-8961-36aa997d7498,3wCMW7RUGv6X3ZduZxiFYW,Person,589,['deep dubstep'],14
4519,Светлана Резанова,6bb25620-6828-4f85-8b88-40d02e726642,0j8L2ZTWOQVVHLhOUlZD83,Person,8,[],1
4520,Mantis,fd71dda5-440f-4e13-bedc-958bdd8bbf9a,6emuMj1OkZNEwNYFZhJo8q,Person,7190,"['deathstep', 'filthstep']",31
4521,Anastasia Kobekina,8f985a30-7eb1-4d40-8969-ac31e2c98a4e,3gyMSbylsDuJor2dpGQ96m,Person,483,[],9
4522,DJ Vodka,58c29df6-0aae-4ea2-906e-bda834290fdc,6FiaJnBa3G2ixTfC37hYhZ,Person,5,[],0
4523,Cloud Lake,88755e8c-4bc1-4b70-a311-b918ed5fa3b4,4KOS7cXPr9RhYR8P0ZygeD,Person,14,[],0
4524,Néva,51175324-ac30-49ca-b5ca-4cc7e5c0ff76,15NtJjjHRFybdNSMyM9smT,Person,13047,[],55
4525,Medchenko,3cc8231d-3ef9-4404-810b-862f0c4cb079,1FEH0ME7160eb7MESRn4tV,Person,0,[],8
4526,Валерий Львович Сигалевич,933a61ce-3ab3-44ec-9639-5f4faa6c03e8,,Person,0,[],0
4527,Yurlov Russian State Academic Choir,1a9819fe-b4c5-4e21-877b-1d47401d433f,1EqxyQ2SjClM6LkHptc0zC,Choir,6,[],4
4528,St. Petersburg Chamber Festival Orchestra,507610db-be6c-44b3-a8d0-3b44f1d88416,,Orchestra,0,[],0
4529,Симфонический оркестр Государственной академической капеллы Санкт‐Петербурга,54136eaf-04a2-48a3-9450-06e1bde2ef32,,Orchestra,0,[],0
4530,MiatriSs,4ffcf340-241e-4bef-b094-a9651c093b63,7s5A0SlNGTXP4EPKIthpaS,Person,28130,['otacore'],50
4531,Светлана Лазарева,4503a972-b686-46d9-8b51-5d13b72ec165,47CrKwHzZS5xSc9JzPJAoH,Person,74,[],7
4532,"St. Petersburg Chamber Orchestra ""Muse""",4f2a3f94-4257-43e0-92fe-5f99d776de18,,Orchestra,0,[],0
4533,Голос Омерики,c9905ffd-5799-4146-bee3-a1b9f8d4209e,55ZUOmgOA5n23s8mvWChMj,Group,1934,['russian indie rock'],32
4534,RSFSR Russian Chorus,6e376522-819c-4549-a63a-f77ccb8daf6e,,Choir,0,[],0
4535,Академический Большой концертный оркестр имени Ю. В. Силантьева,6d593512-06ca-4f35-9307-96abfd2a1e9e,,Orchestra,0,[],0
4536,Ауткаст,c92bad3f-d6b7-4353-a11c-118d33b72d3c,1G9G7WwrXka3Z1r7aIDjI7,Group,1465216,"['atl hip hop', 'dirty south rap', 'hip hop', 'rap', 'southern hip hop']",78
